ProductID,Price,PriceZScore
DSAA31-A900HF0NL,32990,1.4670394313375597
DSAA31-A900GB1T2,27990,0.6663838973857108
DSAA31-A900I32F0,18990,-0.774796063727617
DSAA31-A900HM0NT,14990,-1.415320490889096
DSAA31-A900HLDUV,16990,-1.0950582773083564
DSAA31-A900HJC48,18990,-0.774796063727617
DSAA31-A900HKICU,16990,-1.0950582773083564
DSAA31-A900I3UW6,16990,-1.0950582773083564
DSAA31-A900HQ5GD,16990,-1.0950582773083564
DSAA31-A900I7DW4,24990,0.18599057701460156
DSAA31-1900I4EU3,18900,-0.7892078633387503
DSAA31-A900I3VP8,23990,0.025859470224231816
DSAA31-A900HJC4X,23990,0.025859470224231816
DSAA31-A900HW4G3,23990,0.025859470224231816
DSAA31-A900HNT2A,22990,-0.13427163656613794
DSAA31-A900I32F3,19990,-0.6146649569372472
DSAA31-A900HFP14,21490,-0.3744682967516926
DSAA31-A900HKID4,18990,-0.774796063727617
DSAA31-A900HJC4P,19990,-0.6146649569372472
DSAA31-A900HM0PN,22990,-0.13427163656613794
DSAA31-A900HM0OM,17990,-0.9349271705179867
DSAA31-A900HPY89,21990,-0.2944027433565077
DSAA31-A900HT65N,23990,0.025859470224231816
DSAA31-A900I3VRS,22990,-0.13427163656613794
DSAA31-A900HZAQ2,22990,-0.13427163656613794
DSAA31-A900HQP42,22990,-0.13427163656613794
DSAA31-A900HRN68,22990,-0.13427163656613794
DSAA31-A900I32FB,21990,-0.2944027433565077
DSAA31-A900I3V5N,22990,-0.13427163656613794
DSAA31-A900I3VLG,23990,0.025859470224231816
DSAA31-A900I1KUW,23990,0.025859470224231816
DSAA31-A900HXL05,28990,0.8265150041760806
DSAA31-A900I4E74,31990,1.30690832454719
DSAA31-A900I3VS8,29990,0.9866461109664504
DSAA31-A900H546M,26990,0.5062527905953411
DSAA31-A900HNTN6,28990,0.8265150041760806
DSAA31-A900HM0QI,22990,-0.13427163656613794
DSAA31-A900HPB1J,32990,1.4670394313375597
DSAA31-A900I3VQM,32990,1.4670394313375597
DSAA31-A900HQEHK,29990,0.9866461109664504
DSAA31-A900HLE1S,28990,0.8265150041760806
DSAA31-A900HZAQ6,33990,1.6271705381279293
DSAA31-A900GCLB5,27990,0.6663838973857108
DSAA31-A900HM0O8,8990,-2.3761071316313145
DSAA31-A900HFXZY,11990,-1.8957138112602052
DSAA31-A900HF0NN,43990,3.228481606031627
DSAA31-A900I4Z0R,24990,0.18599057701460156
